ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
125,1680179799050951392,2.11,0.285,-2.669,2.251,0.15,0.351,2.087,0.472,0.305
125,1680179799050951392,1.989,-0.455,2.465,1.96,-0.619,0.308,2.186,-0.338,0.321
126,1680179799150696303,2.126,0.293,-2.566,2.29,0.157,0.355,2.079,0.475,0.302
126,1680179799150696303,1.967,-0.462,2.696,1.977,-0.638,0.288,2.126,-0.334,0.314
127,1680179799224296605,2.133,0.29,-2.47,2.319,0.162,0.349,2.078,0.465,0.303
127,1680179799224296605,1.962,-0.469,2.856,1.976,-0.639,0.293,2.065,-0.338,0.325
128,1680179799326883629,1.921,-0.455,2.831,1.923,-0.629,0.293,2.015,-0.352,0.33
128,1680179799326883629,2.133,0.285,-2.442,2.32,0.16,0.344,2.073,0.453,0.303
129,1680179799428027292,1.921,-0.467,3.019,1.94,-0.656,0.3,1.976,-0.359,0.328
129,1680179799428027292,2.135,0.286,-2.407,2.332,0.156,0.344,2.075,0.442,0.31
130,1680179799698225028,1.902,-0.47,3.015,1.926,-0.667,0.295,1.964,-0.366,0.319
130,1680179799698225028,2.128,0.286,-2.418,2.334,0.153,0.336,2.077,0.429,0.311
131,1680179799760308743,1.902,-0.484,2.805,1.901,-0.683,0.296,2.007,-0.378,0.312
131,1680179799760308743,2.142,0.248,-2.444,2.278,0.139,0.304,2.08,0.376,0.317
132,1680179799854788411,1.93,-0.486,2.593,1.868,-0.672,0.305,2.044,-0.385,0.323
132,1680179799854788411,2.16,0.225,-2.226,2.343,0.137,0.301,2.079,0.34,0.318
133,1680179799963921443,1.957,-0.482,2.416,1.851,-0.657,0.311,2.086,-0.392,0.325
133,1680179799963921443,2.173,0.206,-2.162,2.388,0.128,0.316,2.105,0.318,0.327
134,1680179800055378475,1.954,-0.478,2.228,1.844,-0.64,0.31,2.154,-0.401,0.318
134,1680179800055378475,2.181,0.185,-2.264,2.407,0.117,0.338,2.193,0.295,0.34
135,1680179800154998923,1.956,-0.492,2.011,1.849,-0.609,0.305,2.242,-0.424,0.34
135,1680179800154998923,2.177,0.167,-2.082,2.405,0.115,0.355,2.142,0.263,0.339
136,1680179800253258540,1.98,-0.476,2.05,1.859,-0.597,0.307,2.215,-0.409,0.323
136,1680179800253258540,2.146,0.159,-2.213,2.334,0.118,0.348,2.177,0.236,0.348
137,1680179800324085522,1.983,-0.479,1.948,1.869,-0.581,0.317,2.252,-0.426,0.349
137,1680179800324085522,2.166,0.133,-2.097,2.304,0.108,0.356,2.134,0.207,0.344
138,1680179800454097040,1.987,-0.487,2.044,1.894,-0.586,0.32,2.203,-0.43,0.33
138,1680179800454097040,2.15,0.122,-2.363,2.243,0.11,0.346,2.161,0.193,0.341
139,1680179800551898886,2.004,-0.495,2.04,1.9,-0.584,0.309,2.202,-0.431,0.309
139,1680179800551898886,2.167,0.098,2.834,2.214,0.104,0.341,2.247,0.199,0.354
140,1680179800627477082,2.01,-0.503,2.023,1.911,-0.6,0.309,2.291,-0.415,0.322
140,1680179800627477082,2.092,0.116,-2.381,2.257,0.088,0.335,2.15,0.201,0.338
141,1680179800726204933,2.065,-0.523,2.214,1.934,-0.634,0.315,2.237,-0.406,0.335
141,1680179800726204933,2.061,0.133,-2.224,2.254,0.078,0.331,2.087,0.209,0.333
142,1680179800825190358,2.0,-0.537,2.459,1.952,-0.667,0.307,2.17,-0.395,0.34
142,1680179800825190358,2.043,0.149,-2.131,2.296,0.073,0.344,2.045,0.233,0.33
143,1680179800955537213,1.975,-0.538,2.594,1.945,-0.689,0.302,2.119,-0.398,0.33
143,1680179800955537213,2.002,0.165,-2.158,2.243,0.059,0.332,1.944,0.254,0.315
144,1680179801053697269,1.924,-0.549,-2.817,1.927,-0.7,0.305,1.821,-0.393,0.296
144,1680179801053697269,1.969,0.177,-2.333,2.169,0.034,0.312,1.914,0.278,0.316
145,1680179801154307777,1.885,-0.554,3.126,1.883,-0.701,0.306,1.882,-0.44,0.337
145,1680179801154307777,1.97,0.165,-2.383,2.151,0.028,0.318,1.899,0.298,0.316
146,1680179801252122507,1.942,0.175,-2.536,2.08,0.036,0.315,1.877,0.33,0.313
146,1680179801252122507,1.858,-0.573,-3.009,1.87,-0.713,0.3,1.842,-0.461,0.324
147,1680179801352730103,1.914,0.18,-2.579,2.06,0.041,0.323,1.869,0.343,0.315
147,1680179801352730103,1.826,-0.569,-3.035,1.851,-0.73,0.298,1.822,-0.459,0.314
148,1680179801454026290,1.889,0.182,-2.662,2.033,0.035,0.327,1.868,0.353,0.313
148,1680179801454026290,1.81,-0.572,-3.069,1.824,-0.735,0.296,1.804,-0.463,0.316
149,1680179801551927070,1.855,0.18,-2.931,1.924,0.025,0.318,1.855,0.348,0.308
149,1680179801551927070,1.795,-0.572,-3.138,1.793,-0.733,0.294,1.79,-0.464,0.315
150,1680179801653373949,1.828,0.163,-2.955,1.908,0.005,0.32,1.845,0.335,0.3
150,1680179801653373949,1.787,-0.567,3.137,1.777,-0.727,0.295,1.781,-0.46,0.313
151,1680179801753126740,1.791,0.144,-2.922,1.873,-0.013,0.313,1.799,0.308,0.291
151,1680179801753126740,1.792,-0.562,3.123,1.767,-0.721,0.294,1.77,-0.461,0.313
152,1680179801853118417,1.754,0.119,-3.131,1.78,-0.037,0.305,1.775,0.282,0.294
152,1680179801853118417,1.799,-0.55,3.065,1.774,-0.71,0.303,1.794,-0.451,0.313
153,1680179801934245148,1.715,0.093,-3.139,1.748,-0.062,0.309,1.745,0.253,0.296
153,1680179801934245148,1.821,-0.54,2.949,1.78,-0.701,0.305,1.83,-0.447,0.318
154,1680179802034001361,1.68,0.072,3.131,1.723,-0.086,0.313,1.726,0.227,0.304
154,1680179802034001361,1.834,-0.524,2.861,1.781,-0.682,0.308,1.846,-0.443,0.322
